"revAll.address","useful.m.place_full_name","useful.m.place_name"
"315 Ridgeview Cir, Blairsville, PA 15717, USA","Blairsville, PA","Blairsville"
"2299 NW 13th St, Oklahoma City, OK 73107, USA","Oklahoma City, OK","Oklahoma City"
"3701-3857 Santo Rd, San Diego, CA 92124, USA","San Diego, CA","San Diego"
"Co Rd 193, Claunch, NM 87011, USA","New Mexico, USA","New Mexico"
"112 E A St, Moscow, ID 83843, USA","Moscow, ID","Moscow"
"411-503 E Fairway Dr, Litchfield Park, AZ 85340, USA","Litchfield Park, AZ","Litchfield Park"
"1 Leemond St, Wilbraham, MA 01095, USA","Wilbraham, MA","Wilbraham"
"975-979 Country Club Crescent, London, ON N6C, Canada","London, Ontario","London"
"4499 Colchester St, Houston, TX 77018, USA","Houston, TX","Houston"
"2424 W Jefferson St, Joliet, IL 60435, USA","Joliet, IL","Joliet"
"2910-2998 Terrain Ln, Austin, TX 78731, USA","Austin, TX","Austin"
"Co Rd 2275, Eden, TX 76837, USA","Texas, USA","Texas"
"Maine Turnpike, Hallowell, ME 04347, USA","Hallowell, ME","Hallowell"
"315 Ridgeview Cir, Blairsville, PA 15717, USA","Blairsville, PA","Blairsville"
"1845-1941 E 11th St, Kansas City, MO 64127, USA","Kansas City, MO","Kansas City"
"975-979 Country Club Crescent, London, ON N6C, Canada","London, Ontario","London"
"2098 East Hecla Drive, Louisville, CO 80027, USA","Lafayette, CO","Lafayette"
"6207-6211 Rodney St, Weston, WI 54476, USA","Wisconsin, USA","Wisconsin"
"3259 S Kolin Ave, Chicago, IL 60623, USA","Chicago, IL","Chicago"
"75 Great Lawn Oval, New York, NY 10024, USA","Manhattan, NY","Manhattan"
"3637 Glendon Ave, Los Angeles, CA 90034, USA","Los Angeles, CA","Los Angeles"
"11010 Rockaway Blvd, Jamaica, NY 11420, USA","Queens, NY","Queens"
"1204 Little River Rd, Goshen, VA 24439, USA","Virginia, USA","Virginia"
"205-209 Marylee Dr, Hewitt, TX 76643, USA","Hewitt, TX","Hewitt"
"7692-7700 Haverhill Ct, Dublin, OH 43017, USA","Dublin, OH","Dublin"
"6207-6211 Rodney St, Weston, WI 54476, USA","Wisconsin, USA","Wisconsin"
"1826 W Jefferson Ave, Harlingen, TX 78550, USA","Harlingen, TX","Harlingen"
"200-298 S Elizabeth St, Durham, NC 27701, USA","Durham, NC","Durham"
"491 Rd 202, Centerburg, OH 43011, USA","Ohio, USA","Ohio"
"5670 Rising Sun Ave, Philadelphia, PA 19120, USA","Philadelphia, PA","Philadelphia"
"1120-1144 4th St NE, McClusky, ND 58463, USA","North Dakota, USA","North Dakota"
"491 Rd 202, Centerburg, OH 43011, USA","Ohio, USA","Ohio"
"3637 Glendon Ave, Los Angeles, CA 90034, USA","Los Angeles, CA","Los Angeles"
"25834 Gibraltar Rd, Flat Rock, MI 48134, USA","Flat Rock, MI","Flat Rock"
"W Academy St, Winston-Salem, NC 27101, USA","Winston-Salem, NC","Winston-Salem"
"333 Warbranch Rd, Central, SC 29630, USA","Clemson, SC","Clemson"
"874 Massachusetts Ave, Indianapolis, IN 46202, USA","Indianapolis, IN","Indianapolis"
"2424 Sam Houston Ave, Huntsville, TX 77340, USA","Huntsville, TX","Huntsville"
"Lee Jackson Memorial Hwy & US-50 & I-66, Fairfax, VA 22033, USA","Fair Oaks, VA","Fair Oaks"
"3701-3857 Santo Rd, San Diego, CA 92124, USA","San Diego, CA","San Diego"
"N 34th Way, Phoenix, AZ 85032, USA","Phoenix, AZ","Phoenix"
"2569-2575 Maple Dr, Twinsburg, OH 44087, USA","Twinsburg, OH","Twinsburg"
"1085-1189 Winslow Ave, Cleveland, OH 44113, USA","Cleveland, OH","Cleveland"
"1415 Hwy 6, Sugar Land, TX 77478, USA","Sugar Land, TX","Sugar Land"
"1025 N Scenic Hwy, Babson Park, FL 33827, USA","Babson Park, FL","Babson Park"
"2614 S 57th St, Fort Smith, AR 72903, USA","Fort Smith, AR","Fort Smith"
"63 Mill Ln W, Columbus, NJ 08022, USA","New Jersey, USA","New Jersey"
"12186 Ottawa St, Winchester, ON K0C 2K0, Canada","North Dundas, Ontario","North Dundas"
"570 McLawhorne Dr, Newport News, VA 23601, USA","Newport News, VA","Newport News"
"200-298 S Elizabeth St, Durham, NC 27701, USA","Durham, NC","Durham"
"351 W Camden St, Baltimore, MD 21201, USA","Baltimore, MD","Baltimore"
"2059 County Line Rd, Mt Gilead, NC 27306, USA","North Carolina, USA","North Carolina"
"Unnamed Road, Beech Creek, PA 16822, USA","Pennsylvania, USA","Pennsylvania"
"84-104 Ardsley Rd, Longmeadow, MA 01106, USA","Longmeadow, MA","Longmeadow"
"430-434 Chappell Rd NW, Atlanta, GA 30318, USA","Atlanta, GA","Atlanta"
"14455 Ventura Blvd, Sherman Oaks, CA 91423, USA","Los Angeles, CA","Los Angeles"
"1715 Shady Oaks Dr, Denton, TX 76205, USA","Denton, TX","Denton"
"607-701 Victoria Dr, Euless, TX 76039, USA","Euless, TX","Euless"
"874 Massachusetts Ave, Indianapolis, IN 46202, USA","Indianapolis, IN","Indianapolis"
"491 Rd 202, Centerburg, OH 43011, USA","Ohio, USA","Ohio"
"1522 W Gardner Ave, Spokane, WA 99201, USA","Spokane, WA","Spokane"
"Kelly Rd, Elizabethtown, KY 42701, USA","Kentucky, USA","Kentucky"
"2000-2128 E Willow St, Signal Hill, CA 90755, USA","Signal Hill, CA","Signal Hill"
"75 Great Lawn Oval, New York, NY 10024, USA","Manhattan, NY","Manhattan"
"3259 S Kolin Ave, Chicago, IL 60623, USA","Chicago, IL","Chicago"
"200 Massachusetts Ave NW, Washington, DC 20001, USA","Washington, DC","Washington"
"I-71, Columbus, OH 43211, USA","Columbus, OH","Columbus"
"51 E Bowery St, Akron, OH 44308, USA","Akron, OH","Akron"
"I-71, Columbus, OH 43211, USA","Columbus, OH","Columbus"
"2920 Minerva Lake Rd, Columbus, OH 43231, USA","Minerva Park, OH","Minerva Park"
"3645-3647 Manila Dr, Westerville, OH 43081, USA","Huber Ridge, OH","Huber Ridge"
"9703 S Illinois Rte 31, Algonquin, IL 60102, USA","Algonquin, IL","Algonquin"
"310-316 S 2nd St, DeKalb, IL 60115, USA","DeKalb, IL","DeKalb"
"225-239 Berry Ln, Sewell, NJ 08080, USA","Sewell, NJ","Sewell"
"6039-6099 Palo Pinto Ave, Dallas, TX 75206, USA","Dallas, TX","Dallas"
"2059 County Line Rd, Mt Gilead, NC 27306, USA","North Carolina, USA","North Carolina"
"3637 Glendon Ave, Los Angeles, CA 90034, USA","Los Angeles, CA","Los Angeles"
"19 Avon Ln, North Lauderdale, FL 33068, USA","Tamarac, FL","Tamarac"
"3218 N Pinewood St, Orange, CA 92865, USA","Anaheim, CA","Anaheim"
"6207-6211 Rodney St, Weston, WI 54476, USA","Wisconsin, USA","Wisconsin"
"3008 Chihuahua St, San Antonio, TX 78207, USA","San Antonio, TX","San Antonio"
"2910-2998 Terrain Ln, Austin, TX 78731, USA","Austin, TX","Austin"
"1304 Gibson Ln, Fort Worth, TX 76117, USA","Fort Worth, TX","Fort Worth"
"414-498 E Spruce St, Bethlehem, PA 18018, USA","Bethlehem, PA","Bethlehem"
"11010 Rockaway Blvd, Jamaica, NY 11420, USA","Queens, NY","Queens"
"502 Thorpe Ave, Meriden, CT 06450, USA","Connecticut, USA","Connecticut"
"1-71 E Euclid Ave, Stockton, CA 95204, USA","Stockton, CA","Stockton"
"1085-1189 Winslow Ave, Cleveland, OH 44113, USA","Cleveland, OH","Cleveland"
"455-459 Broadway, New York, NY 10013, USA","Manhattan, NY","Manhattan"
"11010 Rockaway Blvd, Jamaica, NY 11420, USA","Queens, NY","Queens"
"Unnamed Road, Beech Creek, PA 16822, USA","Pennsylvania, USA","Pennsylvania"
"10396 Devillo Dr, Whittier, CA 90604, USA","South Whittier, CA","South Whittier"
"6000 W Alexander Rd, Las Vegas, NV 89130, USA","Las Vegas, NV","Las Vegas"
"405-407 Blue Ridge St, Lynchburg, VA 24501, USA","Lynchburg, VA","Lynchburg"
"1145-1149 School St, Suisun City, CA 94585, USA","Fairfield, CA","Fairfield"
"3637 Glendon Ave, Los Angeles, CA 90034, USA","Los Angeles, CA","Los Angeles"
"Unnamed Road, Morgans Pass, Jamaica","Jamaica","Jamaica"
"1020 S Hurst Rd, Burleson, TX 76028, USA","Burleson, TX","Burleson"
"Co Rd 2275, Eden, TX 76837, USA","Texas, USA","Texas"
"Unnamed Road, Black Canyon City, AZ 85324, USA","Arizona, USA","Arizona"
"Unnamed Road, Black Canyon City, AZ 85324, USA","Arizona, USA","Arizona"
"I-71, Columbus, OH 43211, USA","Columbus, OH","Columbus"
"4951 E Dublin Granville Rd, Westerville, OH 43081, USA","LA Fitness","LA Fitness"
"3008 Chihuahua St, San Antonio, TX 78207, USA","San Antonio, TX","San Antonio"
"5670 Rising Sun Ave, Philadelphia, PA 19120, USA","Philadelphia, PA","Philadelphia"
"319-381 12th St SE, Salem, OR 97301, USA","Salem, OR","Salem"
"10 Sharp St, Enfield, CT 06082, USA","Enfield, CT","Enfield"
"450 Lake Front, Toronto, ON M4E 1A8, Canada","Toronto, Ontario","Toronto"
"440 Boulevard Armand - Frappier, Laval, QC H7V 4B4, Canada","Montréal, Québec","Montréal"
"319 Sycamore Ave, Shrewsbury, NJ 07702, USA","Shrewsbury, NJ","Shrewsbury"
"319 Sycamore Ave, Shrewsbury, NJ 07702, USA","Shrewsbury, NJ","Shrewsbury"
"2500 N First Ave, Evansville, IN 47710, USA","Evansville, IN","Evansville"
"3259 S Kolin Ave, Chicago, IL 60623, USA","Chicago, IL","Chicago"
"5443-5453 N 15th St, Tampa, FL 33610, USA","Tampa, FL","Tampa"
"2338-2438 Cedar Trace Cir, Tampa, FL 33613, USA","University, FL","University"
"1700-1748 36th St N, Birmingham, AL 35234, USA","Birmingham, AL","Birmingham"
"44078 Cheltenham Cir, Ashburn, VA 20147, USA","Ashburn, VA","Ashburn"
"1026 Union Rd, West Seneca, NY 14224, USA","Southgate Medical Group","Southgate Medical Group"
"1300-1398 Monroe St, Reno, NV 89509, USA","Reno, NV","Reno"
"1-71 E Euclid Ave, Stockton, CA 95204, USA","Stockton, CA","Stockton"
"6000 W Alexander Rd, Las Vegas, NV 89130, USA","Las Vegas, NV","Las Vegas"
"26485 Golden Valley Rd, Santa Clarita, CA 91350, USA","Santa Clarita, CA","Santa Clarita"
"1415 Hilton Terrace, Catonsville, MD 21228, USA","Catonsville, MD","Catonsville"
"325 Smoketree Dr, El Centro, CA 92243, USA","El Centro, CA","El Centro"
"Co Rd 2275, Eden, TX 76837, USA","Texas, USA","Texas"
"579-727 Lake of the Woods Blvd, Fern Park, FL 32730, USA","Fern Park, FL","Fern Park"
"176-178 Humboldt Ave, Boston, MA 02121, USA","Boston, MA","Boston"
"110 S Mentzer Rd, Robins, IA 52328, USA","Robins, IA","Robins"
"400-416 Hancock St, Gallatin, TN 37066, USA","Gallatin, TN","Gallatin"
"2602 Valleyview Dr, Columbus, OH 43204, USA","Valleyview, OH","Valleyview"
"7-43 Delaware Ct, Portland, ME 04103, USA","Portland, ME","Portland"
"3020-3044 Hanover St, Palo Alto, CA 94304, USA","Palo Alto, CA","Palo Alto"
"975-979 Country Club Crescent, London, ON N6C, Canada","London, Ontario","London"
"414-498 E Spruce St, Bethlehem, PA 18018, USA","Bethlehem, PA","Bethlehem"
"4783 Hogan Dr, Wilmington, DE 19808, USA","Pike Creek, DE","Pike Creek"
"2922 300 W, South Salt Lake, UT 84115, USA","South Salt Lake, UT","South Salt Lake"
"4301 W Lloyd St, Milwaukee, WI 53208, USA","Milwaukee, WI","Milwaukee"
"38 Cheyenne Dr, Nashua, NH 03063, USA","Nashua, NH","Nashua"
"1254 Oakwood Ave, Toledo, OH 43607, USA","Toledo, OH","Toledo"
"19W324 Army Trail Blvd, Addison, IL 60101, USA","Addison, IL","Addison"
"4499 Colchester St, Houston, TX 77018, USA","Houston, TX","Houston"
"1490-1550 Kennerly Rd, Orangeburg, SC 29118, USA","South Carolina, USA","South Carolina"
"30-92 Hollyoke Ln, Memphis, TN 38117, USA","Memphis, TN","Memphis"
"176-178 Humboldt Ave, Boston, MA 02121, USA","Boston, MA","Boston"
"5700 Grand River Ave, Detroit, MI 48208, USA","Detroit, MI","Detroit"
"909 S Church St, Grapevine, TX 76051, USA","Grapevine, TX","Grapevine"
"1200 Milky Way, Winter Springs, FL 32708, USA","Winter Springs, FL","Winter Springs"
"5167 N Saddleback Dr, Prescott Valley, AZ 86314, USA","Prescott Valley, AZ","Prescott Valley"
"Unnamed Road, Beech Creek, PA 16822, USA","Pennsylvania, USA","Pennsylvania"
"500-598 School St, Hubbard, OH 44425, USA","Hubbard, OH","Hubbard"
"1600-1602 16th St, Santa Monica, CA 90404, USA","Santa Monica, CA","Santa Monica"
"200-298 James Garner Ave, Norman, OK 73069, USA","Norman, OK","Norman"
"315 Ridgeview Cir, Blairsville, PA 15717, USA","Blairsville, PA","Blairsville"
"3637 Glendon Ave, Los Angeles, CA 90034, USA","Los Angeles, CA","Los Angeles"
"1700 N Harbor Blvd, Fullerton, CA 92835, USA","Fullerton, CA","Fullerton"
"Broadway - Edison Building, 1701 Broadway, Seattle, WA 98122, USA","Seattle, WA","Seattle"
"820 6th St, Taft, CA 93268, USA","Taft, CA","Taft"
"250-298 W Central Ave, Lovington, NM 88260, USA","Lovington, NM","Lovington"
"3701-3857 Santo Rd, San Diego, CA 92124, USA","San Diego, CA","San Diego"
"1841-1845 Lake Ave, Altadena, CA 91001, USA","Pasadena, CA","Pasadena"
"2103-2113 NE 88th St, Vancouver, WA 98665, USA","Hazel Dell North, WA","Hazel Dell North"
"Unnamed Road, North Little Rock, AR 72117, USA","Arkansas, USA","Arkansas"
"450 Lake Front, Toronto, ON M4E 1A8, Canada","Toronto, Ontario","Toronto"
"1201 Lincoln Ave, Alameda, CA 94501, USA","Alameda, CA","Alameda"
"235 Cumberland River Greenway, Nashville, TN 37228, USA","Nashville, TN","Nashville"
"4 Simmons Rd, East Hartford, CT 06118, USA","East Hartford, CT","East Hartford"
"170 S Holly St, Denver, CO 80246, USA","Denver, CO","Denver"
"1651-1655 College Pkwy, Elko, NV 89801, USA","Elko, NV","Elko"
"200-254 Golf Ln, Murfreesboro, TN 37129, USA","Murfreesboro, TN","Murfreesboro"
"Unnamed Road, Beech Creek, PA 16822, USA","Pennsylvania, USA","Pennsylvania"
"1015 Haber Rd, Ames, IA 50010, USA","Ames, IA","Ames"
"3701-3857 Santo Rd, San Diego, CA 92124, USA","San Diego, CA","San Diego"
"505 Cheadle St E, Swift Current, SK S9H, Canada","Swift Current, Saskatchewan","Swift Current"
"120 Linda Jo Dr, Richland, MS 39218, USA","Jackson, MS","Jackson"
"3701-3857 Santo Rd, San Diego, CA 92124, USA","San Diego, CA","San Diego"
"14218 Amar Rd, La Puente, CA 91746, USA","West Puente Valley, CA","West Puente Valley"
"25 Bayard Ln, Princeton, NJ 08540, USA","Princeton, NJ","Princeton"
"1015 Olive Way, Seattle, WA 98101, USA","Seattle, WA","Seattle"
"1635 Tremont Dr, Santa Cruz, CA 95062, USA","Twin Lakes, CA","Twin Lakes"
"33356-33398 Five Mile Road, Livonia, MI 48154, USA","Livonia, MI","Livonia"
"3280-3298 NE Hancock St, Portland, OR 97212, USA","Portland, OR","Portland"
"156 Summerset Ct, San Ramon, CA 94583, USA","San Ramon, CA","San Ramon"
"11297 Island Rd, St Francisville, LA 70775, USA","Louisiana, USA","Louisiana"
"814 N Brack St, Kissimmee, FL 34744, USA","Kissimmee, FL","Kissimmee"
"3259 S Kolin Ave, Chicago, IL 60623, USA","Chicago, IL","Chicago"
"874 Massachusetts Ave, Indianapolis, IN 46202, USA","Indianapolis, IN","Indianapolis"
"17901 SE Antelope Springs Rd, Prineville, OR 97754, USA","Oregon, USA","Oregon"
"14009 Pearl Rd, Strongsville, OH 44136, USA","Strongsville, OH","Strongsville"
"Stillhouse Lake Rd, Harker Heights, TX 76548, USA","Harker Heights, TX","Harker Heights"
"1800 S 21st St, Artesia, NM 88210, USA","Artesia, NM","Artesia"
"Natchez Trace Pkwy, Canton, MS 39046, USA","Mississippi, USA","Mississippi"
"3259 S Kolin Ave, Chicago, IL 60623, USA","Chicago, IL","Chicago"
"16800-16936 N 103rd Pl, Scottsdale, AZ 85255, USA","Scottsdale, AZ","Scottsdale"
"1600 Forest Lake Dr, Tuscaloosa, AL 35401, USA","Tuscaloosa, AL","Tuscaloosa"
"100-134 Baldwin Ln, San Marcos, CA 92069, USA","San Marcos, CA","San Marcos"
"14653 Marquette Ave, Chino, CA 91710, USA","Chino, CA","Chino"
"1701 25th Ave, Melrose Park, IL 60160, USA","Melrose Park, IL","Melrose Park"
"491 Rd 202, Centerburg, OH 43011, USA","Ohio, USA","Ohio"
"Tower Point Rd, Wytheville, VA 24382, USA","Wytheville, VA","Wytheville"
"2313 S Whittier Ave, Springfield, IL 62704, USA","Springfield, IL","Springfield"
"5408-5426 Florida Ave, New Orleans, LA 70117, USA","New Orleans, LA","New Orleans"
"Unnamed Road, Broken Bow, NE 68822, USA","Nebraska, USA","Nebraska"
"2059 County Line Rd, Mt Gilead, NC 27306, USA","North Carolina, USA","North Carolina"
"11-13 Loganberry Cir, Valdosta, GA 31602, USA","Valdosta, GA","Valdosta"
"319 W Calora St, San Dimas, CA 91773, USA","San Dimas, CA","San Dimas"
"Co Rd 2275, Eden, TX 76837, USA","Texas, USA","Texas"
"100 E Main St, Lagrange, OH 44050, USA","LaGrange, OH","LaGrange"
"2910-2998 Terrain Ln, Austin, TX 78731, USA","Austin, TX","Austin"
"7692-7700 Haverhill Ct, Dublin, OH 43017, USA","Dublin, OH","Dublin"
"Unnamed Road, Morgans Pass, Jamaica","Jamaica","Jamaica"
"2105 S Lincoln Ave, Corona, CA 92882, USA","Corona, CA","Corona"
"3020-3044 Hanover St, Palo Alto, CA 94304, USA","Palo Alto, CA","Palo Alto"
"2500-2524 Wakefield Ave, Oakland, CA 94606, USA","Oakland, CA","Oakland"
"1716 North 90th Street, Omaha, NE 68114, USA","Omaha, NE","Omaha"
"430-434 Chappell Rd NW, Atlanta, GA 30318, USA","Atlanta, GA","Atlanta"
"12901-12999 Hibiscus Ave, Seminole, FL 33776, USA","Boca Ciega, FL","Boca Ciega"
"601-609 S Cougar Ave, Cedar Park, TX 78613, USA","Cedar Park, TX","Cedar Park"
"1287 Glenwood Ave SE, Atlanta, GA 30316, USA","Atlanta, GA","Atlanta"
"Washington, DC 20004, USA","National Museum of Natural History","National Museum of Natural History"
"302-398 Kemp Rd E, Greensboro, NC 27410, USA","Greensboro, NC","Greensboro"
"4225 Kilby Rd, Park City, UT 84098, USA","Summit Park, UT","Summit Park"
"4615 Flower Mound Rd, Flower Mound, TX 75022, USA","Flower Mound, TX","Flower Mound"
"4600-4604 Gramercy Ct, Raleigh, NC 27609, USA","Raleigh, NC","Raleigh"
"1900 Rue Jacques-Tétreault, Laval, QC H7N 0A7, Canada","Montréal, Québec","Montréal"
"319-381 12th St SE, Salem, OR 97301, USA","Salem, OR","Salem"
"7140 Waller St, San Francisco, CA 94117, USA","San Francisco, CA","San Francisco"
"26485 Golden Valley Rd, Santa Clarita, CA 91350, USA","Santa Clarita, CA","Santa Clarita"
"37 West St, Brampton, ON L6X 1V8, Canada","Brampton, Ontario","Brampton"
"179 N Main St, Boscawen, NH 03303, USA","Boscawen, NH","Boscawen"
"417 Eugene Rd, Eugene, MO 65032, USA","Missouri, USA","Missouri"
"1085-1189 Winslow Ave, Cleveland, OH 44113, USA","Cleveland, OH","Cleveland"
"2185 Cranford Rd, Columbus, OH 43221, USA","Upper Arlington, OH","Upper Arlington"
"6020 Cartmel Ln, Windermere, FL 34786, USA","Lake Butler, FL","Lake Butler"
"32781 Co Hwy 49, Round Lake, IL 60073, USA","Round Lake, IL","Round Lake"
"1591-1599 Hall - Johnson Rd, Colleyville, TX 76034, USA","Colleyville, TX","Colleyville"
"103 Hoyts Hill, Bethel, CT 06801, USA","Bethel, CT","Bethel"
"3120 Serra Way, Sacramento, CA 95816, USA","Sacramento, CA","Sacramento"
"28022-28026 657th Ave, Maxwell, IA 50161, USA","Iowa, USA","Iowa"
"1015 Haber Rd, Ames, IA 50010, USA","Ames, IA","Ames"
"450 Lake Front, Toronto, ON M4E 1A8, Canada","Toronto, Ontario","Toronto"
"18025 N 10th St, Noblesville, IN 46060, USA","Noblesville, IN","Noblesville"
"600 Dexter Ave, Montgomery, AL 36130, USA","Montgomery, AL","Montgomery"
"Corporal Greaves Ave, El Paso, TX 79925, USA","El Paso, TX","El Paso"
"3319 Bluestem Cir, College Station, TX 77845, USA","College Station, TX","College Station"
"2500-2524 Wakefield Ave, Oakland, CA 94606, USA","Oakland, CA","Oakland"
"88 N Sandpiper Dr, Dover, DE 19901, USA","Delaware, USA","Delaware"
"4499 Colchester St, Houston, TX 77018, USA","Houston, TX","Houston"
"5317-5319 Weymouth Dr, Springfield, VA 22151, USA","Maryland, USA","Maryland"
"1635-1683 US-17 BUS, Washington, NC 27889, USA","Washington, NC","Washington"
"3259 S Kolin Ave, Chicago, IL 60623, USA","Chicago, IL","Chicago"
"3637 Glendon Ave, Los Angeles, CA 90034, USA","Los Angeles, CA","Los Angeles"
"6455 Middle Ridge Rd, Madison, OH 44057, USA","Madison, OH","Madison"
"2500-2524 Wakefield Ave, Oakland, CA 94606, USA","Oakland, CA","Oakland"
"2500-2524 Wakefield Ave, Oakland, CA 94606, USA","Oakland, CA","Oakland"
"200 N County Rd 500 E, Avon, IN 46123, USA","Indiana, USA","Indiana"
"276-328 N Mc Lane Rd, Payson, AZ 85541, USA","Payson, AZ","Payson"
"1254 Oakwood Ave, Toledo, OH 43607, USA","Toledo, OH","Toledo"
"1438 Brabamhurst Dr, Lawrenceburg, IN 47025, USA","Hidden Valley, IN","Hidden Valley"
"4604 Northwest Pkwy, Hilliard, OH 43026, USA","Hilliard, OH","Hilliard"
"4604 Northwest Pkwy, Hilliard, OH 43026, USA","Hilliard, OH","Hilliard"
"2580 Crestmoor Dr, San Bruno, CA 94066, USA","San Bruno, CA","San Bruno"
"419 Woodbine St, Louisville, KY 40208, USA","Louisville, KY","Louisville"
"Paint Creek Recreational Trail, Chillicothe, OH 45601, USA","Chillicothe, OH","Chillicothe"
"125 University Dr, Prairie View, TX 77445, USA","Prairie View, TX","Prairie View"
"6300-6372 Liberty Rd, Solon, OH 44139, USA","Solon, OH","Solon"
"324 Clarkson Ave, Brooklyn, NY 11226, USA","Brooklyn, NY","Brooklyn"
"63-99 Bridgeport Dr, St Charles, MO 63304, USA","St Peters, MO","St Peters"
"11641-11651 N Quandry Dr, Oro Valley, AZ 85737, USA","Oro Valley, AZ","Oro Valley"
"1304 Gibson Ln, Fort Worth, TX 76117, USA","Fort Worth, TX","Fort Worth"
"133 R D'Arcy St, Toronto, ON M5T 1K2, Canada","Kensington-Chinatown, Toronto","Kensington-Chinatown"
"I-71, Columbus, OH 43211, USA","Columbus, OH","Columbus"
"Unnamed Road, Morgans Pass, Jamaica","Jamaica","Jamaica"
"1725 Hering Ave, Bronx, NY 10461, USA","Bronx, NY","Bronx"
"I-71, Columbus, OH 43211, USA","Columbus, OH","Columbus"
"402-406 NJ-10, West Orange, NJ 07052, USA","West Orange, NJ","West Orange"
"4499 Colchester St, Houston, TX 77018, USA","Houston, TX","Houston"
"100-176 N Boston Pl, Russellville, AR 72801, USA","Russellville, AR","Russellville"
"Pacific Rd, Port Hueneme, CA 93041, USA","Port Hueneme, CA","Port Hueneme"
"141 Brown St, Tecumseh, MI 49286, USA","Tecumseh, MI","Tecumseh"
"Unnamed Road, North Little Rock, AR 72117, USA","Arkansas, USA","Arkansas"
"1254 Oakwood Ave, Toledo, OH 43607, USA","Toledo, OH","Toledo"
"Natchez Trace Pkwy, Canton, MS 39046, USA","Mississippi, USA","Mississippi"
"339 N Union Ave, Los Angeles, CA 90026, USA","Los Angeles, CA","Los Angeles"
"1360 Quincy St, Ashland, OR 97520, USA","Ashland, OR","Ashland"
"6039-6099 Palo Pinto Ave, Dallas, TX 75206, USA","Dallas, TX","Dallas"
"2604 109th Ave NE, Minneapolis, MN 55449, USA","Blaine, MN","Blaine"
"I-71, Columbus, OH 43211, USA","Columbus, OH","Columbus"
"3301-3311 Savoy St NW, Knoxville, TN 37921, USA","Knoxville, TN","Knoxville"
"6701 SW 24th St, Miami, FL 33155, USA","Coral Terrace, FL","Coral Terrace"
"101-123 N 8th St, Lake Mary, FL 32746, USA","Lake Mary, FL","Lake Mary"
"I-71, Columbus, OH 43211, USA","Columbus, OH","Columbus"
"1280-1282 New Land Dr, Virginia Beach, VA 23453, USA","Virginia Beach, VA","Virginia Beach"
"200 Massachusetts Ave NW, Washington, DC 20001, USA","Washington, DC","Washington"
"2549-2573 W Nolana Ave, McAllen, TX 78501, USA","McAllen, TX","McAllen"
"742 Goodridge Rd, Woodbury, TN 37190, USA","Tennessee, USA","Tennessee"
"200 Massachusetts Ave NW, Washington, DC 20001, USA","Washington, DC","Washington"
"38549 3rd St E, Palmdale, CA 93550, USA","Palmdale, CA","Palmdale"
"3128 Moodie Dr, Nepean, ON K2J 4S7, Canada","Ottawa, Ontario","Ottawa"
"14218 Amar Rd, La Puente, CA 91746, USA","West Puente Valley, CA","West Puente Valley"
"1304 Gibson Ln, Fort Worth, TX 76117, USA","Fort Worth, TX","Fort Worth"
"48-78 Broome St, Newark, NJ 07103, USA","Newark, NJ","Newark"
